Symbol,Name
504,FP.PA,TOTAL S.A.
505,UNVB.F,Unilever PLC
506,TOT.MI,TOTAL S.A.
507,TOTB.DE,TOTAL S.A.
508,IPO.L,IP Group Plc
509,0NVC.L,Danske Bank A/S
510,LRE.L,Lancashire Holdings Limited
511,MDO.F,McDonald's Corporation
512,EDIN.L,Edinburgh Investment Trust Plc
513,FXPO.L,Ferrexpo Plc
514,1NBA.DE,Anheuser-Busch InBev SA/NV
515,ESUR.L,esure Group plc
516,1NBA.F,Anheuser-Busch InBev SA/NV
517,37G1.F,Guaranty Trust Bank Plc
518,MDO.DE,McDonald's Corporation
519,TRY.L,TR Property Investment Trust
520,SCT.L,Softcat plc
521,PC6A.F,PetroChina Company Limited
522,SAGA.L,Saga plc
523,BVS.L,Bovis Homes Group PLC
524,TRVC.F,Citigroup Inc.
525,DTG.L,Dart Group PLC
526,COA.L,Coats Group plc
527,6GAA.F,Grupo Aval Acciones Y Valores S.A.
528,OR.PA,L'Oréal S.A.
529,SAFE.L,Safestore Holdings plc
530,JDW.L,J D Wetherspoon plc
531,LOR.F,L'Oréal S.A.
532,0QYI.L,"Netflix, Inc."
533,LOR.DE,L'Oréal S.A.
534,BSU.SG,BP p.l.c.
535,OR.MI,L'Oréal S.A.
536,BPE5.F,BP p.l.c.
537,CCC.L,Computacenter plc
538,SLL.SG,Standard Life Aberdeen plc
539,BPE5.DE,BP p.l.c.
540,BPE.F,BP p.l.c.
541,TEP.L,Telecom Plus PLC
542,4AB.F,AbbVie Inc.
543,BHP.F,BHP Group Limited
544,BHP1.F,BHP Group Limited
545,0AI4.L,Carlsberg A/S
546,GCP.L,GCP Infrastructure Investments Limited
547,SRP.L,Serco Group plc
548,UKCM.L,UK COMMERCIAL PROPERTY REIT LIM
549,BPE.DE,BP p.l.c.
550,0ICQ.L,DowDuPont Inc.
551,0YXG.L,Broadcom Inc.
552,MAB.L,Mitchells & Butlers plc
553,0QZ6.L,"NIKE, Inc."
554,2M6.DE,Medtronic plc
555,HVPE.L,HarbourVest Global Private Equity Ltd.
556,SAPA.F,SAP SE
557,PIN.L,Pantheon International PLC
558,DOM.L,Domino's Pizza Group plc
559,2M6.F,Medtronic plc
560,SAP.MI,SAP SE
561,SAP.F,SAP SE
562,SAP.DE,SAP SE
563,DNLM.L,Dunelm Group plc
