,Symbol,Name
1076,2317.TW,"Hon Hai Precision Industry Co., Ltd."
1077,DMART.BO,Avenue Supermarts Limited
1078,DMART.NS,Avenue Supermarts Limited
1079,INDUSINDBK.BO,IndusInd Bank Limited
1080,INDUSINDBK.NS,IndusInd Bank Limited
1081,AOT-R.BK,Airports of Thailand Public Company Limited
1082,AOT.BK,Airports of Thailand Public Company Limited
1083,M&M.NS,Mahindra & Mahindra Limited
1084,M&M.BO,Mahindra & Mahindra Limited
1085,GODREJCP.NS,Godrej Consumer Products Limited
1086,GODREJCP.BO,Godrej Consumer Products Limited
1087,2412.TW,"Chunghwa Telecom Co., Ltd."
1088,GAIL.NS,GAIL (India) Limited
1089,GAIL.BO,GAIL (India) Limited
1090,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited
1091,ADANIPORTS.BO,Adani Ports and Special Economic Zone Limited
1092,BAJAJ-AUTO.BO,Bajaj Auto Limited
1093,BAJAJ-AUTO.NS,Bajaj Auto Limited
1094,BPCL.BO,Bharat Petroleum Corporation Limited
1095,BPCL.NS,Bharat Petroleum Corporation Limited
1096,TITAN.BO,Titan Company Limited
1097,HDFCLIFE.BO,HDFC Standard Life Insurance Company Limited
1098,TITAN.NS,Titan Company Limited
1099,HDFCLIFE.NS,HDFC Standard Life Insurance Company Limited
1100,TCS.NS,Tata Consultancy Services Limited
1101,TCS.BO,Tata Consultancy Services Limited
1102,RELIANCE.BO,Reliance Industries Limited
1103,RELIANCE.NS,Reliance Industries Limited
1104,2330.TW,Taiwan Semiconductor Manufacturing Company Limited
1105,HDFCBANK.BO,HDFC Bank Limited
1106,HDFCBANK.NS,HDFC Bank Limited
1107,HINDUNILVR.NS,Hindustan Unilever Limited
1108,HINDUNILVR.BO,Hindustan Unilever Limited
1109,ITC.NS,ITC Limited
1110,ITC.BO,ITC Limited
1111,HDFC.NS,Housing Development Finance Corporation Limited
1112,HDFC.BO,Housing Development Finance Corporation Limited
1113,0700.HK,Tencent Holdings Limited
1114,INFY.BO,Infosys Limited
1115,INFY.NS,Infosys Limited
1116,SBIN.NS,State Bank of India
1117,SBIN.BO,State Bank of India
1118,KOTAKBANK.NS,Kotak Mahindra Bank Limited
1119,KOTAKBANK.BO,Kotak Mahindra Bank Limited
1120,ICICIBANK.BO,ICICI Bank Limited
1121,ICICIBANK.NS,ICICI Bank Limited
1122,MARUTI.BO,Maruti Suzuki India Limited
1123,MARUTI.NS,Maruti Suzuki India Limited
1124,LT.NS,Larsen & Toubro Limited
1125,LT.BO,Larsen & Toubro Limited
1126,ONGC.NS,Oil and Natural Gas Corporation Limited
1127,ONGC.BO,Oil and Natural Gas Corporation Limited
1128,1398.HK,Industrial and Commercial Bank of China Limited
1129,0939.HK,China Construction Bank Corporation
1130,STAN.BO,Standard Chartered PLC
1131,AXISBANK.NS,Axis Bank Limited
1132,AXISBANK.BO,Axis Bank Limited
1133,601939.SS,China Construction Bank Corporation
1134,COALINDIA.NS,Coal India Limited
1135,601398.SS,Industrial and Commercial Bank of China Limited
1136,COALINDIA.BO,Coal India Limited
1137,0941.HK,China Mobile Limited
1138,BAJFINANCE.NS,Bajaj Finance Limited
1139,BAJFINANCE.BO,Bajaj Finance Limited
1140,WIPRO.NS,Wipro Limited
1141,WIPRO.BO,Wipro Limited
1142,0857.HK,PetroChina Company Limited
1143,HCLTECH.NS,HCL Technologies Limited
1144,HCLTECH.BO,HCL Technologies Limited
1145,ASIANPAINT.NS,Asian Paints Limited
1146,ASIANPAINT.BO,Asian Paints Limited
1147,PTT.BK,PTT Public Company Limited
1148,PTT-R.BK,PTT Public Company Limited
1149,0005.HK,HSBC Holdings plc
1150,2318.HK,"Ping An Insurance (Group) Company of China, Ltd."
1151,601857.SS,PetroChina Company Limited
1152,IOC.BO,Indian Oil Corporation Limited
1153,IOC.NS,Indian Oil Corporation Limited
1154,BHARTIARTL.BO,Bharti Airtel Limited
1155,BHARTIARTL.NS,Bharti Airtel Limited
1156,1288.HK,Agricultural Bank of China Limited
1157,NTPC.NS,NTPC Limited
1158,NTPC.BO,NTPC Limited
1159,3988.HK,Bank of China Limited
1160,HINDZINC.NS,Hindustan Zinc Limited
1161,HINDZINC.BO,Hindustan Zinc Limited
1162,601318.SS,"Ping An Insurance (Group) Company of China, Ltd."
1163,601288.SS,Agricultural Bank of China Limited
1164,ULTRACEMCO.NS,UltraTech Cement Limited
1165,ULTRACEMCO.BO,UltraTech Cement Limited
1166,NESTLEIND.BO,Nestlé India Limited
1167,NESTLEIND.NS,Nestlé India Limited
1168,601988.SS,Bank of China Limited
1169,6505.TW,Formosa Petrochemical Corporation
1170,POWERGRID.NS,Power Grid Corporation of India Limited
1171,POWERGRID.BO,Power Grid Corporation of India Limited
1172,BAJAJFINSV.NS,Bajaj Finserv Limited
1173,BAJAJFINSV.BO,Bajaj Finserv Limited
1174,SUNPHARMA.BO,Sun Pharmaceutical Industries Limited
1175,SUNPHARMA.NS,Sun Pharmaceutical Industries Limited
1176,2317.TW,"Hon Hai Precision Industry Co., Ltd."
1177,DMART.BO,Avenue Supermarts Limited
1178,DMART.NS,Avenue Supermarts Limited
1179,INDUSINDBK.BO,IndusInd Bank Limited
1180,INDUSINDBK.NS,IndusInd Bank Limited
1181,AOT-R.BK,Airports of Thailand Public Company Limited
1182,AOT.BK,Airports of Thailand Public Company Limited
1183,M&M.NS,Mahindra & Mahindra Limited
1184,M&M.BO,Mahindra & Mahindra Limited
1185,GODREJCP.NS,Godrej Consumer Products Limited
1186,GODREJCP.BO,Godrej Consumer Products Limited
1187,2412.TW,"Chunghwa Telecom Co., Ltd."
1188,GAIL.NS,GAIL (India) Limited
1189,GAIL.BO,GAIL (India) Limited
1190,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited
1191,ADANIPORTS.BO,Adani Ports and Special Economic Zone Limited
1192,BAJAJ-AUTO.BO,Bajaj Auto Limited
1193,BAJAJ-AUTO.NS,Bajaj Auto Limited
1194,BPCL.BO,Bharat Petroleum Corporation Limited
1195,BPCL.NS,Bharat Petroleum Corporation Limited
1196,TITAN.BO,Titan Company Limited
1197,HDFCLIFE.BO,HDFC Standard Life Insurance Company Limited
1198,TITAN.NS,Titan Company Limited
1199,HDFCLIFE.NS,HDFC Standard Life Insurance Company Limited
1200,TCS.NS,Tata Consultancy Services Limited
1201,TCS.BO,Tata Consultancy Services Limited
1202,RELIANCE.BO,Reliance Industries Limited
1203,RELIANCE.NS,Reliance Industries Limited
1204,2330.TW,Taiwan Semiconductor Manufacturing Company Limited
1205,HDFCBANK.BO,HDFC Bank Limited
1206,HDFCBANK.NS,HDFC Bank Limited
1207,HINDUNILVR.NS,Hindustan Unilever Limited
1208,HINDUNILVR.BO,Hindustan Unilever Limited
1209,ITC.NS,ITC Limited
1210,ITC.BO,ITC Limited
1211,HDFC.NS,Housing Development Finance Corporation Limited
1212,HDFC.BO,Housing Development Finance Corporation Limited
1213,0700.HK,Tencent Holdings Limited
1214,INFY.BO,Infosys Limited
1215,INFY.NS,Infosys Limited
1216,SBIN.NS,State Bank of India
1217,SBIN.BO,State Bank of India
1218,KOTAKBANK.NS,Kotak Mahindra Bank Limited
1219,KOTAKBANK.BO,Kotak Mahindra Bank Limited
1220,ICICIBANK.BO,ICICI Bank Limited
1221,ICICIBANK.NS,ICICI Bank Limited
1222,MARUTI.BO,Maruti Suzuki India Limited
1223,MARUTI.NS,Maruti Suzuki India Limited
1224,LT.NS,Larsen & Toubro Limited
1225,LT.BO,Larsen & Toubro Limited
1226,ONGC.NS,Oil and Natural Gas Corporation Limited
1227,ONGC.BO,Oil and Natural Gas Corporation Limited
1228,1398.HK,Industrial and Commercial Bank of China Limited
1229,0939.HK,China Construction Bank Corporation
1230,STAN.BO,Standard Chartered PLC
1231,AXISBANK.NS,Axis Bank Limited
1232,AXISBANK.BO,Axis Bank Limited
1233,601939.SS,China Construction Bank Corporation
1234,COALINDIA.NS,Coal India Limited
1235,601398.SS,Industrial and Commercial Bank of China Limited
1236,COALINDIA.BO,Coal India Limited
1237,0941.HK,China Mobile Limited
1238,BAJFINANCE.NS,Bajaj Finance Limited
1239,BAJFINANCE.BO,Bajaj Finance Limited
1240,WIPRO.NS,Wipro Limited
1241,WIPRO.BO,Wipro Limited
1242,0857.HK,PetroChina Company Limited
1243,HCLTECH.NS,HCL Technologies Limited
1244,HCLTECH.BO,HCL Technologies Limited
1245,ASIANPAINT.NS,Asian Paints Limited
1246,ASIANPAINT.BO,Asian Paints Limited
1247,PTT.BK,PTT Public Company Limited
1248,PTT-R.BK,PTT Public Company Limited
1249,0005.HK,HSBC Holdings plc
1250,2318.HK,"Ping An Insurance (Group) Company of China, Ltd."
1251,601857.SS,PetroChina Company Limited
1252,IOC.BO,Indian Oil Corporation Limited
1253,IOC.NS,Indian Oil Corporation Limited
1254,BHARTIARTL.BO,Bharti Airtel Limited
1255,BHARTIARTL.NS,Bharti Airtel Limited
1256,1288.HK,Agricultural Bank of China Limited
1257,NTPC.NS,NTPC Limited
1258,NTPC.BO,NTPC Limited
1259,3988.HK,Bank of China Limited
1260,HINDZINC.NS,Hindustan Zinc Limited
1261,HINDZINC.BO,Hindustan Zinc Limited
1262,601318.SS,"Ping An Insurance (Group) Company of China, Ltd."
1263,601288.SS,Agricultural Bank of China Limited
1264,ULTRACEMCO.NS,UltraTech Cement Limited
1265,ULTRACEMCO.BO,UltraTech Cement Limited
1266,NESTLEIND.BO,Nestlé India Limited
1267,NESTLEIND.NS,Nestlé India Limited
1268,601988.SS,Bank of China Limited
1269,6505.TW,Formosa Petrochemical Corporation
1270,POWERGRID.NS,Power Grid Corporation of India Limited
1271,POWERGRID.BO,Power Grid Corporation of India Limited
1272,BAJAJFINSV.NS,Bajaj Finserv Limited
1273,BAJAJFINSV.BO,Bajaj Finserv Limited
1274,SUNPHARMA.BO,Sun Pharmaceutical Industries Limited
1275,SUNPHARMA.NS,Sun Pharmaceutical Industries Limited
1276,2317.TW,"Hon Hai Precision Industry Co., Ltd."
1277,DMART.BO,Avenue Supermarts Limited
